"n.muts"	"coes"	"sigma"	"d.true"	"rep"	"method"	"d.hat"	"u.hats.1"	"u.hats.2"	"R2"	"sig.hat"	"logLike"
"2"	"0.1"	"0.1"	"1"	"85"	"RDB"	"-100"	"-0.0011"	"-6e-04"	"0.94816"	"0.01565"	"11.95248"
"2"	"0.1"	"0.1"	"1"	"86"	"RDB"	"0.00093"	"0.50156"	"0"	"-1.20123"	"0.12922"	"3.50924"
"2"	"0.1"	"0.1"	"1"	"87"	"RDB"	"-100"	"-0.00036"	"-0.00179"	"0.89504"	"0.0397"	"8.22982"
"2"	"0.1"	"0.1"	"1"	"88"	"RDB"	"0.14968"	"0.90168"	"0.84628"	"1"	"0"	"Inf"
"2"	"0.1"	"0.1"	"1"	"89"	"RDB"	"-100"	"0.00011"	"-0.00081"	"-0.04703"	"0.05985"	"6.58819"
"2"	"0.1"	"0.1"	"1"	"90"	"RDB"	"-100"	"-0.00141"	"-0.00128"	"0.85755"	"0.04568"	"7.66821"
"2"	"0.1"	"0.1"	"1"	"91"	"RDB"	"-100"	"-0.00028"	"-0.00242"	"0.99742"	"0.00693"	"15.21368"
"2"	"0.1"	"0.1"	"1"	"92"	"RDB"	"-100"	"-0.00068"	"-0.00194"	"0.73988"	"0.08617"	"5.13012"
"2"	"0.1"	"0.1"	"1"	"93"	"RDB"	"0.44589"	"0.30689"	"0.2302"	"1"	"0"	"Inf"
"2"	"0.1"	"0.1"	"1"	"94"	"RDB"	"-100"	"-0.00011"	"-0.00021"	"0.16568"	"0.06273"	"6.39987"
"2"	"0.1"	"0.1"	"1"	"95"	"RDB"	"-100"	"-0.00105"	"-0.00148"	"-5.70498"	"0.12182"	"3.74501"
"2"	"0.1"	"0.1"	"1"	"96"	"RDB"	"-100"	"0.00095"	"-0.00125"	"0.60761"	"0.08084"	"5.3853"
"2"	"0.1"	"0.1"	"1"	"97"	"RDB"	"-100"	"-0.00047"	"-0.0022"	"0.67392"	"0.11867"	"3.84994"
"2"	"0.1"	"0.1"	"1"	"98"	"RDB"	"-100"	"-0.00117"	"-0.00028"	"0.91506"	"0.02256"	"10.48999"
"2"	"0.1"	"0.1"	"1"	"99"	"RDB"	"0.08136"	"0"	"0.31287"	"-3.36514"	"0.12938"	"3.50434"
"2"	"0.1"	"0.1"	"1"	"100"	"RDB"	"-100"	"-0.00077"	"-0.00211"	"0.99623"	"0.00688"	"15.24108"
