"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.MLE"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"u.hats.4"	"u.hats.5"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.1"	"s.hats.2"	"s.hats.3"	"s.hats.4"	"s.hats.5"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.1"	"w.hats.2"	"w.hats.3"	"w.hats.4"	"w.hats.5"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	5	-0.278544766048435	0.150606984272599	-0.45542576036782	0.520334230470445	-0.43182	-0.46968	-0.49645	-0.37057	-0.5086	0.93894	0.14931	16.44871	-10.02148	-0.280059319870546	-0.19331	-0.3298	-0.41377	-0.22053	-0.24287	-0.03559	0.61491	-28.84507	-3.81562	-0.501033847551772	-0.5018	-0.50689	-0.51695	-0.43512	-0.54441	0.57362	0.39456	-14.64674	-10.08858
"stick"	5	-0.418652472703252	0.121208196214866	-0.442327562248118	0.932224904823596	-0.45643	-0.41814	-0.45405	-0.44349	-0.43953	0.98762	0.11502	24.79874	-8.01056	-0.193651518458672	-0.03664	-0.20931	-0.15935	-0.26372	-0.29923	-1.22326	1.54156	-58.2555	-0.33296	-0.871335669690335	-0.91153	-0.81758	-0.89144	-0.8702	-0.86593	0.58862	0.66312	-31.26028	-49.21331
"stick"	5	-0.308854045905173	0.0857528226915747	-0.254444962762912	1.29212277229176	-0.27542	-0.2417	-0.25189	-0.23877	-0.26445	0.97514	0.09522	30.84414	-1.4165	-0.203946563150203	-0.23669	-0.16015	-0.21385	-0.18123	-0.22781	-0.91526	0.83584	-38.6678	-19.15138	-0.526030665223302	-0.56216	-0.51084	-0.51976	-0.49972	-0.53768	0.75308	0.30011	-5.89089	-25.59746
"stick"	5	-0.10177948983619	0.149235222546849	-0.232392529656543	0.411082070135591	-0.27708	-0.27408	-0.16885	-0.18027	-0.26168	0.61468	0.1282	21.32778	-16.1748	-0.206527386306746	-0.23009	-0.25105	-0.17214	-0.1818	-0.19756	0.15954	0.18933	8.8498	-4.68292	-0.143213423950081	-0.16092	-0.17355	-0.11634	-0.11766	-0.1476	0.50803	0.14486	17.4182	-9.01522
"stick"	5	-0.349153276102152	0.135155135241803	-0.458717358903441	0.679310854548124	-0.39962	-0.45802	-0.47056	-0.44065	-0.52474	0.97724	0.11995	23.45695	-11.47667	-0.271661194347827	-0.22595	-0.27653	-0.30421	-0.23961	-0.31201	-0.51485	0.97847	-43.70942	-12.22861	-0.668506686437594	-0.62226	-0.68079	-0.65501	-0.66007	-0.7244	0.57644	0.51739	-23.31957	-40.18951
"stick"	5	-0.312247753504198	0.128677920729388	-0.348242748440025	0.843927533133723	-0.37554	-0.33251	-0.31741	-0.37614	-0.33963	0.95954	0.1293	21.05277	-6.47958	-0.215933638076762	-0.2344	-0.22966	-0.18703	-0.24363	-0.18495	-0.60962	0.81559	-37.88313	-11.86361	-0.541531394964387	-0.58221	-0.4983	-0.50044	-0.5791	-0.54761	0.65683	0.37659	-13.15488	-20.67313
"stick"	5	-0.0865724821342155	0.0925987320952117	-0.10410769374388	0.687138649783712	-0.13623	-0.08014	-0.07711	-0.11482	-0.11224	0.5324	0.08936	32.87561	-11.07777	-0.114854569913665	-0.1436	-0.08806	-0.09774	-0.1312	-0.11367	0.29777	0.10951	26.36934	-5.47569	-0.0899300725039863	-0.1152	-0.06885	-0.07114	-0.10122	-0.09323	0.48254	0.09401	31.25458	-7.83141
"stick"	5	-0.126600070041604	0.162551770859864	-0.122230707712529	1.25498551642954	-0.09682	-0.17047	-0.11597	-0.13265	-0.09525	0.51369	0.17639	11.11663	-19.02514	-0.262955147015815	-0.27023	-0.28107	-0.21971	-0.28935	-0.25441	0.13409	0.23537	1.88567	-9.93301	-0.179266445962916	-0.15357	-0.23145	-0.16365	-0.19586	-0.1518	0.47954	0.18247	10.03056	-14.45305
"stick"	5	-0.32746192679042	0.0686379161197692	-0.328337402848818	0.98615592436055	-0.36428	-0.31182	-0.34075	-0.31406	-0.31078	0.98744	0.07446	38.71524	-10.06096	-0.243131265514927	-0.31079	-0.19547	-0.27234	-0.22685	-0.2102	-0.64711	0.85274	-39.30842	-16.0698	-0.574020682398544	-0.61301	-0.56299	-0.58407	-0.55742	-0.55262	0.70888	0.3585	-11.5796	-49.74596
"stick"	5	-0.125219560111873	0.179101941117551	-0.181124622086604	0.719057837465424	-0.07235	-0.18489	-0.24378	-0.22848	-0.17612	0.61835	0.1542	15.41887	-18.54294	-0.292723024586361	-0.19732	-0.29843	-0.38211	-0.24076	-0.34499	-0.08248	0.25969	-1.26113	-6.72912	-0.172382279977582	-0.0778	-0.17164	-0.23159	-0.19177	-0.1891	0.55498	0.16651	12.96116	-11.04795
"stick"	5	-0.471202767908108	0.0880901862983592	-0.443374495667627	1.10630073906032	-0.42515	-0.48187	-0.45084	-0.43568	-0.42333	0.99654	0.07413	38.85468	-5.90187	-0.0822833235344798	-0.07838	-0.10084	-0.06217	-0.08126	-0.08877	-1.93261	2.15744	-69.01161	-0.50443	-1.05900401786679	-1.03337	-1.11715	-1.0916	-1.04518	-1.00772	0.55412	0.84124	-38.87395	-100.34973
"stick"	5	-0.320469432719983	0.0635185100836679	-0.321459994214395	1.00816394478384	-0.33241	-0.28357	-0.33368	-0.32596	-0.33168	0.99052	0.06417	43.47437	-5.83243	-0.25681683526831	-0.27368	-0.20833	-0.282	-0.26029	-0.25978	-0.58102	0.82868	-38.39255	-13.5121	-0.56912887856505	-0.5867	-0.5189	-0.57587	-0.57557	-0.5886	0.71792	0.35003	-10.81459	-47.99172
"stick"	5	-0.363351981714368	0.170305881416425	-0.25229653890656	1.62142254078746	-0.23929	-0.24875	-0.29919	-0.22001	-0.25424	0.94371	0.18306	9.9288	-3.82158	-0.220749337797355	-0.36979	-0.22597	-0.211	-0.15048	-0.14652	-1.15432	1.1325	-48.38766	-7.35169	-0.655154212292795	-0.61038	-0.65882	-0.74475	-0.59472	-0.66709	0.72783	0.40253	-15.28674	-17.53085
