"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.max"	"u.hats.1"	"u.hats.2"	"u.hats.3"	"u.hats.4"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.1"	"s.hats.2"	"s.hats.3"	"s.hats.4"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.1"	"w.hats.2"	"w.hats.3"	"w.hats.4"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	4	-0.120616970746778	0.247827370127197	-0.273195773673507	0.371243140059729	-0.21706	-0.07613	-0.37994	-0.41965	-0.00093	0.29434	-2.13467	-11.22167	-0.189937042568179	-0.04962	-0.30899	-0.30881	-0.09233	0.15686	0.27014	-0.76221	-11.78612	-0.137450699294634	-0.05558	-0.16692	-0.1894	-0.1379	0.23879	0.25668	0.0556	-11.64904
"stick"	4	-0.391408734687138	0.0649833040661179	-0.339786541188218	1.22788729939093	-0.3329	-0.32819	-0.3511	-0.34696	0.99677	0.03784	30.68861	-0.99538	-0.412110741106623	-0.36275	-0.44722	-0.33057	-0.5079	-0.22356	0.73619	-16.80279	-1.22047	-0.641417894495102	-0.63148	-0.62293	-0.66229	-0.64898	0.84388	0.26297	-0.33145	-30.58468
"stick"	4	-0.20183742105728	0.00181387731572613	-0.201503308167133	1.00264005252726	-0.20174	-0.20102	-0.20167	-0.2016	0.99997	0.00146	82.80826	-4.21204	-0.34278613385199	-0.34281	-0.34195	-0.3433	-0.34309	0.73777	0.13279	10.60105	-25.89229	-0.261958468728331	-0.26209	-0.2613	-0.26232	-0.26212	0.93278	0.06723	21.49102	-77.98388
"stick"	4	-0.275517331587616	0.221439863846172	-0.0415051771927416	8.125170499062	-0.03695	-0.02728	-0.05595	-0.04585	0.82152	0.16282	7.3384	-5.85065	-0.257924645743592	-0.20733	-0.16059	-0.38895	-0.27483	0.08411	0.36885	-5.74508	-3.08958	-0.35486041576583	-0.32274	-0.23194	-0.47459	-0.39016	0.81881	0.16406	7.21771	-5.39655
"stick"	4	-0.301115827006288	0.145805639098398	-0.220418326421365	1.51383316679681	-0.18978	-0.18312	-0.24913	-0.25964	0.96471	0.08437	17.85688	-3.01429	-0.313693836878452	-0.27501	-0.25384	-0.37036	-0.35556	0.09098	0.42823	-8.13332	-1.80623	-0.438235151758803	-0.38531	-0.37185	-0.48187	-0.51392	0.89639	0.14457	9.24045	-2.97253
"stick"	4	-0.140910965751391	0.14173050300451	-0.661078465310993	0.161324326220503	-0.94623	-0.81352	-0.80244	-0.08212	0.33993	0.21722	2.72682	-10.3501	-0.259666129482699	-0.33438	-0.22982	-0.39169	-0.08278	0.58093	0.17308	6.36117	-6.95397	-0.193387296228339	-0.25295	-0.19517	-0.26612	-0.05932	0.64923	0.15835	7.78459	-8.0414
"stick"	4	-0.163631638756488	0.084723784821108	-0.0423193586534411	4.05590229453111	-0.03336	-0.04019	-0.05757	-0.03815	0.76485	0.09144	16.57004	-1.70458	-0.27936679135011	-0.21848	-0.28298	-0.36423	-0.25177	0.40361	0.14562	9.12477	-2.23845	-0.182805956117296	-0.14384	-0.17469	-0.24813	-0.16456	0.75997	0.09238	16.40586	-1.48701
"stick"	4	-0.0838172245188616	0.0587061935220845	-0.337864281948733	0.18633694427485	-0.36067	-0.32727	-0.45662	-0.2069	0.78079	0.05237	25.48737	-4.49036	-0.106575858198261	-0.10432	-0.12193	-0.13087	-0.06918	0.565	0.07377	20.00488	-3.72596	-0.0936934163779693	-0.09361	-0.10339	-0.11776	-0.06002	0.66502	0.06474	22.09509	-3.83166
"stick"	4	-0.244607381813694	0.000714524299837649	-0.244191557924482	1.00207951805199	-0.2447	-0.24422	-0.24373	-0.24412	1	6e-04	97.0346	-4.25942	-0.570227907768547	-0.57095	-0.56985	-0.57018	-0.56993	0.34364	0.27215	-0.88079	-16.04859	-0.334521031470521	-0.33513	-0.33451	-0.33407	-0.33438	0.90813	0.10182	14.85024	-110.56877
"stick"	4	-0.444670788210351	0.0682587778428569	-0.389148882612365	1.1812214640509	-0.38688	-0.39421	-0.38575	-0.38975	0.99121	0.07478	19.78794	-2.7003	-0.135986044387315	-0.15391	-0.14071	-0.11491	-0.13442	-1.66737	1.30244	-25.93088	-4.20079	-0.754633437456064	-0.74455	-0.75686	-0.76169	-0.75544	0.80006	0.35659	-5.20411	-26.5904
"stick"	4	-0.225043318141252	0.237544084549882	-0.453325689743654	0.438624882607276	-0.23352	-0.64697	-0.51981	-0.413	0.76253	0.21583	2.82916	-4.29683	-0.422393754693176	-0.21813	-0.49936	-0.58321	-0.38887	0.38475	0.3474	-4.78678	-10.29599	-0.351692093636597	-0.23744	-0.47621	-0.33451	-0.35861	0.55377	0.29586	-2.21731	-3.35265
"stick"	4	-0.432377521786839	0.0235574256512336	-0.450735157940391	0.93898671448786	-0.44675	-0.46055	-0.45168	-0.44396	0.99898	0.02518	37.20633	-2.97326	-0.451944818353039	-0.48602	-0.11825	-0.71682	-0.48668	-0.2265	0.87302	-19.53022	-1.76472	-0.738107990037618	-0.73747	-0.75023	-0.73397	-0.73076	0.77424	0.37455	-5.99051	-49.61239
