"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.max"	"u.hats.A"	"u.hats.B"	"u.hats.C"	"u.hats.D"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.A"	"s.hats.B"	"s.hats.C"	"s.hats.D"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.A"	"w.hats.B"	"w.hats.C"	"w.hats.D"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	4	-0.711422595242038	0.0610481479670852	-0.498030990408485	2.04355837644946	-0.52462	-0.5572	-0.46802	-0.44229	0.88229	0.74864	-10.29438	-3.85495	-0.131643502709474	-0.16309	-0.1695	-0.09769	-0.09629	-0.75094	2.88731	-23.79262	-11.69563	-2.24892252249986	-2.74164	-2.8684	-1.7105	-1.67514	-0.36034	2.54496	-22.53054	-11.79218
"stick"	4	-1.30291872769594	0.231972092587966	-1.02869586594046	2.04355837644946	-1.20406	-1.19427	-0.84869	-0.86775	0.7996	3.61156	-26.03079	-4.15101	-0.310997194183517	-0.43603	-0.43246	-0.19133	-0.18416	0.46383	5.90751	-30.95162	-8.69188	-8.6394435176411	-11.65028	-11.59158	-5.72282	-5.59309	-1.7325	13.33618	-39.09419	-18.27175
"stick"	4	-0.858836790337227	0.240437968459446	-0.605812435738389	2.04355837644946	-0.60994	-0.6194	-0.54055	-0.65337	0.90165	0.93794	-12.5487	-4.39956	-0.207706195632037	-0.26096	-0.26296	-0.14448	-0.16242	-1.38408	4.61787	-28.48873	-7.32982	-3.22207468411153	-3.96681	-4.00852	-2.28202	-2.63095	-0.71156	3.91271	-26.83168	-8.11986
"stick"	4	-1.57310306314612	0.0700296034920029	-1.2421812623885	2.04355837644946	-1.41135	-1.40763	-1.06652	-1.08322	0.87439	4.50057	-28.23143	-3.42681	-0.517605097904152	-0.702	-0.70011	-0.3335	-0.33482	0.36781	10.09661	-36.31138	-7.0185	-13.6995528289056	-18.55544	-18.52754	-8.84293	-8.87229	-2.08744	22.3127	-44.24094	-21.46293
"stick"	4	-0.854334918409586	0.215570052154362	-0.624544251035578	2.04355837644946	-0.76777	-0.66917	-0.39315	-0.66809	0.84083	1.30176	-15.82654	-1.42475	-0.210571215615925	-0.28379	-0.26373	-0.13411	-0.16064	-1.20572	4.84588	-28.97067	-10.06105	-3.2983743850406	-4.48605	-4.06693	-2.03698	-2.60353	-0.68509	4.23553	-27.62448	-7.35418
"stick"	4	-1.36407277559629	0.115251054579858	-1.05650261957168	2.04355837644946	-1.21453	-1.18391	-0.89866	-0.92891	0.86629	3.24087	-24.94779	-4.7771	-0.342130289557069	-0.47855	-0.46612	-0.2108	-0.21305	0.46202	6.50073	-31.90853	-7.73663	-9.51516035798737	-12.85898	-12.66227	-6.24711	-6.29228	-1.75751	14.71765	-40.07986	-14.11096
"stick"	4	-0.169628608773928	0.0570657139178365	-0.103522644792204	2.04355837644946	-0.13309	-0.10096	-0.07492	-0.10513	0.82713	0.10729	9.13262	-1.14321	-0.0124553904618487	-0.01646	-0.01275	-0.00859	-0.01203	0.62359	0.15832	5.24195	-2.22258	-0.249665534849952	-0.32925	-0.25427	-0.17291	-0.24224	0.6483	0.15304	5.58138	-2.09888
"stick"	4	-1.97965194737772	0.110136310744565	-1.61078294535147	2.04355837644946	-1.82293	-1.80772	-1.42882	-1.38366	0.86706	8.47987	-34.56633	-3.26581	-0.0913147092126183	0	0	-0.18531	-0.17995	-0.55474	28.99912	-46.86204	-5.1809	-25.3788394896316	-34.85702	-34.70741	-16.02961	-15.92132	-2.68855	44.66671	-51.18167	-20.64168
"stick"	4	-0.891694872418884	0.237522792478558	-0.662015114885353	2.04355837644946	-0.6705	-0.64191	-0.71769	-0.61795	0.80104	1.47475	-17.07428	-2.48484	-0.236428441756143	-0.29981	-0.29331	-0.17575	-0.17684	-1.60674	5.33803	-29.93795	-8.52972	-3.58510365973536	-4.46974	-4.33434	-2.79266	-2.74367	-0.93481	4.59887	-28.44749	-9.5492
"stick"	4	-1.171675697912	0.0303444557357579	-0.895698335528635	2.04355837644946	-1.00933	-1.0095	-0.78461	-0.77935	0.85566	2.36612	-21.80189	-4.55797	-0.240811881409303	-0.32918	-0.32924	-0.15246	-0.15236	0.51611	4.33225	-27.85025	-9.24633	-6.63192107340567	-8.77297	-8.77396	-4.49029	-4.49046	-1.38562	9.61925	-35.82705	-22.19249
"stick"	4	-0.131066675600596	0.227360391290858	-0.104900739550931	2.06480619219997	-0.32855	0.00774	-0.09892	0.00012	0.31411	0.24172	1.01027	-0.60802	-0.0110492276476591	-0.03336	0.00055	-0.01082	-0.00056	0.35763	0.23393	1.33799	-0.45248	-0.224752466024905	-0.68143	0.01183	-0.21932	-0.01009	0.35444	0.23451	1.31323	-0.46957
"stick"	4	-0.595535482908599	0.157637091760989	-0.411109063572982	2.04355837644946	-0.45996	-0.4821	-0.34989	-0.35249	0.84506	0.60312	-8.13292	-3.16818	-0.0863976594289023	-0.10791	-0.11194	-0.06327	-0.06247	-0.23092	1.69997	-18.49547	-8.6408	-1.57006879758526	-1.94231	-2.02066	-1.16459	-1.15271	-0.01869	1.54649	-17.54924	-7.86308
"stick"	4	-1.73822287548101	0.0696459698374383	-1.39830629543867	2.04355837644946	-1.58641	-1.58904	-1.19067	-1.2271	0.85779	6.20779	-31.44743	-3.18466	-0.7432001798984	-0.93288	-0.93445	-0.54142	-0.56404	0.22362	14.50474	-39.93414	-6.33895	-17.8628135546596	-24.31344	-24.33532	-11.34195	-11.46054	-2.37371	30.23625	-47.2798	-19.2718
"stick"	4	-1.80992614321876	0.0623692245571874	-1.45459718921025	2.04355837644946	-1.65089	-1.64092	-1.25176	-1.27482	0.87377	6.50509	-31.91524	-3.38978	-0.0787056556438582	0	0	-0.15602	-0.15881	-0.57761	22.99681	-44.54294	-5.89522	-19.896671477541	-27.19285	-27.10508	-12.61831	-12.67045	-2.46374	34.07539	-48.47514	-22.67966
"stick"	4	-1.80272590930108	0.236457767605316	-1.44738396193685	2.04355837644946	-1.66589	-1.65727	-1.26507	-1.20131	0.87449	6.43683	-31.80975	-3.03103	-0.0755513554388363	0	0	-0.15512	-0.14708	-0.58462	22.87155	-44.48832	-5.91772	-19.7039540178749	-26.98226	-26.90734	-12.5158	-12.41041	-2.45517	33.77285	-48.38596	-18.67649
