"model"	"n.muts"	"coes"	"sigma"	"u.mean"	"d.hat.MLE"	"u.hats.mut.1"	"u.hats.mut.2"	"u.hats.mut.3"	"u.hats.mut.4"	"u.hats.mut.5"	"R2.stick"	"sig.stick"	"lnL.stick"	"P.stick"	"s.mean"	"s.hats.mut.1"	"s.hats.mut.2"	"s.hats.mut.3"	"s.hats.mut.4"	"s.hats.mut.5"	"R2.mult"	"sig.mult"	"lnL.mult"	"P.mult"	"w.mean"	"w.hats.mut.1"	"w.hats.mut.2"	"w.hats.mut.3"	"w.hats.mut.4"	"w.hats.mut.5"	"R2.add"	"sig.add"	"lnL.add"	"P.add"
"stick"	5	0.0818740699090995	0.0873529010568745	-0.00521444599431182	0.553963791800065	-0.01685	-0.23862	0.18981	0.04019	-6e-04	-2.13595	0.24071	1.06257	0	0.0279252907502321	0.00733	-0.02005	0.09826	0.02286	0.03123	-0.22263	0.1503	6.71415	0	0.0242670854092379	0.00447	-0.03311	0.10051	0.02281	0.02665	-0.44782	0.16356	5.69982	0
"stick"	5	0.280639184254687	0.0907099926844239	0.238923885395937	1.01949111327097	0.09437	0.31281	0.2472	0.24681	0.29344	0.94463	0.05341	19.12924	0	0.193440052248637	0.11774	0.25234	0.21075	0.1648	0.22157	-1.09287	0.32839	-2.66476	0	0.20732604792074	0.11777	0.27156	0.22356	0.18302	0.24072	0.55133	0.15205	6.5753	0
"stick"	5	0.443074517406058	0.0782265518791974	0.2601696356509	1.21868595938847	0.43235	0.26739	0.19251	0.29108	0.11752	0.90975	0.07979	14.31283	0	0.263081086644534	0.39286	0.25393	0.25899	0.27225	0.13738	-4.66019	0.6319	-10.51895	0	0.283506208278835	0.43599	0.27473	0.26912	0.29612	0.14157	-0.00566	0.26635	-0.15206	0
"stick"	5	0.41142660821788	0.140613577619661	0.109046300454781	1.93718161092682	0.08609	0.18385	-0.00685	0.21443	0.06772	0.20628	0.2324	1.48411	0	0.216384878433202	0.18497	0.32299	0.07544	0.37477	0.12375	-2.37265	0.47907	-7.19625	0	0.219865152751602	0.18098	0.34427	0.04325	0.40268	0.12815	-0.1101	0.27485	-0.52877	0
"stick"	5	0.265544095181394	0.0969078300986439	0.229235746840222	1.10131087261783	0.21788	0.25434	0.15847	0.30129	0.2142	0.9349	0.05907	17.92151	0	0.208840084256567	0.19904	0.21802	0.18166	0.26916	0.17632	-1.75274	0.3841	-4.54499	0	0.222766663591707	0.21155	0.23516	0.18655	0.28974	0.19083	0.48401	0.1663	5.50061	0
"stick"	5	0.251571810967289	0.0874820568133146	0.270690506842894	1.14880748543994	0.32146	0.24409	0.26155	0.3097	0.21666	0.83022	0.09774	11.87797	0	0.212658402012489	0.25424	0.1945	0.2146	0.24749	0.15246	-2.03477	0.41323	-5.42232	0	0.236214716745075	0.28371	0.21432	0.23547	0.27497	0.1726	0.2216	0.20928	2.74157	0
"stick"	5	0.454841001960449	0.128959506459069	0.209743364479453	1.69444214542058	0.23519	0.27103	0.21582	0.23422	0.09245	0.43662	0.201	3.22592	0	0.315652032015808	0.29983	0.35252	0.32159	0.36061	0.24372	-12.93435	0.99965	-16.02304	0	0.3409418387709	0.33902	0.3972	0.34592	0.38666	0.23591	-1.54639	0.42733	-5.82497	0
"stick"	5	0.247842618741561	0.102845976944081	0.14447579374903	1.49940292781246	0.068	0.22695	0.17152	0.11509	0.14083	0.75472	0.10579	10.92817	0	0.207782805779272	0.14605	0.29289	0.22636	0.15788	0.21574	-2.60956	0.40583	-5.2054	0	0.215830194017455	0.13716	0.31567	0.24108	0.16511	0.22014	0.26152	0.18356	4.3151	0
"stick"	5	0.0690911486279219	0.174725692777429	0.000225375804075645	6.1462330162444	0.01943	-0.00408	-0.0116	-0.01484	0.01222	-0.36054	0.23398	1.40322	0	0.0019805332556621	0.11308	-0.0416	-0.08049	-0.05145	0.07035	-0.46792	0.24303	0.94742	0	0.00186141509061956	0.11842	-0.02774	-0.07279	-0.08288	0.0743	-0.36388	0.23426	1.38849	0
"stick"	5	0.285949882562272	0.239191565080546	-0.0968508174831558	1.25326980551922	0.17048	-0.03605	-0.15679	-0.12953	-0.33236	-9.46929	0.99284	-15.94099	0	0.0603911605543155	0.20653	-0.00641	0.01727	0.02939	0.05518	-0.78716	0.41021	-5.3341	0	0.0271686242427383	0.21312	-0.02052	-0.03191	-0.01554	-0.00931	-1.75309	0.50913	-7.92666	0
"mult"	5	0.253964691876899	0.0888635643059388	0.0755573408678353	5.24794325727835	0.07041	0.08038	0.08644	0.07483	0.06573	0.92006	0.21321	2.51872	0	0.192999538893103	0.18588	0.21047	0.27212	0.14064	0.15589	0.72627	0.39453	-4.86651	0	0.310658175840848	0.29057	0.33307	0.37766	0.28862	0.26337	0.87984	0.2614	0.07338	0
